EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,Age,DistanceFromHome,Education,EmployeeCount,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,Mean_In_Time,Mean_Out_Time,Mean_Duration_Hours,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married
1,3.0,4.0,2.0,51,6,2,1,1,1.4051359227861628,1.0,11,8,0,1.0,6,1,0,0,3,3,9.999166666666666,17.331944444444446,7.332589245872378,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,3.0,2.0,4.0,31,10,1,1,1,-0.49166100123768053,0.0,23,8,1,6.0,3,5,1,4,2,4,9.985,17.65861111111111,7.673562025881303,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2.0,2.0,1.0,32,17,4,1,4,2.7250533073538916,1.0,15,8,3,5.0,2,5,0,3,3,3,10.02138888888889,17.030833333333334,7.009590584560464,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
4,4.0,4.0,3.0,38,2,5,1,3,0.3863007877246271,3.0,11,8,3,13.0,5,8,7,5,2,3,9.97888888888889,17.16333333333333,7.1844388665774215,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
5,4.0,1.0,3.0,32,10,1,1,1,-0.8841090709892251,4.0,12,8,2,9.0,2,6,0,4,3,3,9.997499999999999,17.986944444444447,7.989560464078536,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
6,3.0,2.0,2.0,46,8,3,1,4,-0.5167334821422188,3.0,13,8,0,28.0,5,7,7,7,3,3,9.98611111111111,20.588055555555556,10.60203815261044,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,1.0,3.0,1.0,28,11,2,1,2,-0.1465956708226787,2.0,20,8,1,5.0,2,0,0,0,3,4,9.963055555555554,16.858333333333334,6.895324631860777,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
8,1.0,2.0,3.0,29,18,3,1,2,-0.7139136709507913,2.0,22,8,3,10.0,2,0,0,0,3,4,10.002222222222223,16.72861111111111,6.726290718429273,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
9,2.0,4.0,3.0,31,1,3,1,3,-0.947427709205771,0.0,21,8,0,10.0,2,9,7,8,3,4,10.0175,17.228055555555553,7.210629183400268,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
10,2.0,1.0,3.0,25,7,4,1,4,1.4790784935893775,1.0,13,8,1,6.0,2,6,1,5,3,3,9.962222222222222,17.020555555555553,7.058222891566265,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
11,3.0,4.0,3.0,45,17,2,1,2,0.3161828326526132,0.0,13,8,2,21.0,2,20,4,10,2,3,9.9925,18.341944444444444,8.349543730477464,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
12,3.0,4.0,3.0,36,28,1,1,1,-0.6641936664451814,0.0,12,8,2,16.0,2,15,10,11,3,3,9.995555555555555,17.058333333333334,7.0626561802766625,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
13,4.0,1.0,3.0,55,14,4,1,1,-0.20502730004935696,0.0,17,8,0,37.0,2,36,4,13,3,3,10.01388888888889,19.11138888888889,9.097418563141455,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1.0,2.0,2.0,47,1,1,1,1,-0.15743208206108084,1.0,11,8,2,10.0,4,10,9,9,2,3,9.999166666666666,19.237222222222222,9.23796965640339,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
15,4.0,4.0,2.0,28,1,3,1,1,-0.8309894080558813,1.0,14,8,0,5.0,2,5,0,4,3,3,10.005555555555556,16.106944444444444,6.101372155287818,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
16,3.0,4.0,4.0,37,1,3,1,2,-0.24582320118216505,4.0,11,8,0,7.0,2,5,0,1,3,3,10.003055555555555,16.714166666666667,6.71090584560464,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,4.0,3.0,4.0,21,3,2,1,1,-0.4865615135960795,1.0,12,8,3,3.0,3,3,1,0,2,3,10.027777777777779,16.665,6.63704707719768,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
18,1.0,4.0,3.0,37,1,3,1,2,-0.5048346776451498,2.0,13,8,1,15.0,2,5,0,2,3,3,10.007222222222222,20.97111111111111,10.96403056671129,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
19,2.0,2.0,2.0,35,7,4,1,1,-0.863711120422821,7.0,16,8,0,10.0,5,7,6,2,2,3,9.986388888888888,16.9325,6.946000669344042,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
